3858241	956203
3858241	1324234
3858241	3398406
3858241	3557384
3858241	3634889
3858242	1515701
3858242	3319261
3858242	3668705
3858242	3707004
3858243	2949611
3858243	3146465
3858243	3156927
3858243	3221341
3858243	3574238
3858243	3681785
3858243	3684611
3858244	14040
3858244	17445
3858244	2211676
3858244	2635670
3858244	2838924
3858244	2912700
3858245	2072303
3858245	3176316
3858245	3553737
3858245	3608095
3858245	3621837
3858245	3699969
3858245	3755824
3858246	3451067
3858246	3503079
3858246	3601877
3858247	1600859
3858247	2807431
3858247	3621837
3858247	3694819
3858247	3755824
3858248	2875449
3858248	3304558
3858248	3641592
3858248	3706104
3858249	3054117
3858249	3289214
3858249	3418664
3858249	3609772
3858249	3611446
3858249	3611447
3858249	3748663
3858250	2741776
3858250	2869141
3858250	2883675
3858250	3320622
3858250	3324482
3858250	3331084
3858250	3365730
3858250	3546715
3858251	1092080
3858251	1106732
3858251	3059597
3858251	3092049
3858251	3319588
3858251	3320907
3858251	3694825
3858252	1572275
3858252	1582881
3858252	1664491
3858252	2060100
3858252	2518060
3858252	3060453
3858252	3458874
3858252	3724760
3858253	2331472
3858253	2665963
3858253	2702225
3858253	2842777
3858253	3097369
3858254	2869143
3858254	2945241
3858254	3736601
3858255	2709817
3858255	2866982
3858255	3284812
3858255	3377635
3858256	2012755
3858256	2129225
3858256	3413665
3858256	3695690
3858257	2368930
3858257	2784132
3858257	3290704
3858257	3510888
3858257	3681796
3858258	1331793
3858258	1540798
3858259	3390168
3858260	2041616
3858260	2437135
3858260	2784424
3858260	2984846
3858260	2991750
3858260	3090973
3858260	3436095
3858260	3608111
3858260	3755838
3858261	3108623
3858261	3120012
3858261	3238540
3858262	3294139
3858262	3416492
3858262	3452714
3858262	3557750
3858262	3579684
3858262	3720533
3858263	3594838
3858263	3608118
3858264	3137017
3858264	3203002
3858264	3299456
3858264	3368229
3858264	3530488
3858264	3606627
3858265	2167296
3858265	3163943
3858265	3254355
3858265	3731335
3858266	842965
3858266	1342036
3858266	1838448
3858266	1971175
3858266	2423658
3858266	2677837
3858267	2817867
3858267	2896239
3858267	3626542
3858268	3045294
3858268	3314119
3858269	2599580
3858269	2726419
3858269	2926378
3858269	3528693
3858270	1274165
3858270	1377626
3858270	2425675
3858270	3187371
3858270	3261129
3858270	3582118
3858271	1012404
3858271	2169882
3858271	2495599
3858271	2803865
3858271	2885718
3858271	3186025
3858271	3345675
3858271	3445882
3858272	733470
3858272	1137078
3858272	2025946
3858272	2294197
3858272	2540919
3858272	3286446
3858273	2765243
3858273	2826500
3858273	2876062
3858273	3402068
3858273	3431162
3858274	2224232
3858274	3398487
3858274	3628845
3858274	3648327
3858275	1479503
3858275	2292141
3858275	2450511
3858275	2451504
3858275	2720005
3858275	2738556
3858275	2910652
3858275	2915790
